tradedate,ticker,open,close,high,low,volume,openinterest
2019-08-20,600519,1070.62391245537,1085.8460533907544,1089.580551966902,1065.5498654769083,2860213.0,0
2019-08-21,600519,1085.9475343303234,1081.786815807985,1092.9192748787295,1077.3825430306806,2506662.0,0
2019-08-22,600519,1088.8803334838742,1120.3495728442922,1120.3495728442922,1085.8460533907544,3759078.0,0
2019-08-23,600519,1121.3643822399845,1146.836098071861,1150.3473385809564,1111.8454701083906,4019230.0000000005,0
2019-08-26,600519,1129.482857405523,1119.2840229788153,1144.7049983409074,1112.9211680678247,4849789.0,0
2019-08-27,600519,1133.542094988292,1125.4236198227538,1148.0640174406487,1125.4236198227538,5216421.0,0
2019-08-28,600519,1125.4236198227538,1116.401964295049,1139.8237651476275,1099.048723628711,4700967.0,0
2019-08-29,600519,1121.3643822399845,1129.584338345092,1134.739570075209,1108.679264793831,2933042.0,0
2019-08-30,600519,1141.6605701538303,1158.9123298805994,1162.9715674633687,1139.6309513624458,4489077.0,0
2019-09-02,600519,1156.8725629952578,1155.6243474385565,1161.9364618797624,1145.7198077365995,2823433.0,0
2019-09-03,600519,1156.8827110892148,1156.8827110892148,1168.065910629744,1145.273291602495,2948509.0,0
2019-09-04,600519,1157.6945586057684,1141.6707182477874,1159.8358064306797,1136.698152208895,3360022.0,0
2019-09-05,600519,1145.7198077365995,1160.941948671984,1161.8552771281072,1144.7049983409074,3293083.9999999995,0
2019-09-06,600519,1161.4493533698303,1159.4095864844887,1163.1237888727226,1147.7494265279843,2617659.0,0
2019-09-09,600519,1161.9567580676762,1153.3511743922056,1165.001186254753,1151.8086641107534,2937934.0,0
2019-09-10,600519,1151.0982975337688,1140.4935393487842,1151.8086641107534,1136.5966712693257,2622707.0,0
2019-09-11,600519,1135.7949718467291,1085.358944880822,1136.5560788934981,1083.8164345993698,8171653.999999999,0
2019-09-12,600519,1081.786815807985,1115.2755258658308,1126.4181330305323,1081.786815807985,4121133.0,0
2019-09-16,600519,1099.038575534754,1115.2755258658308,1120.2988323745076,1099.038575534754,3137180.0,0
2019-09-17,600519,1110.2014788873694,1110.2116269813262,1123.0489658368338,1103.0978131175234,2519693.0,0
2019-09-18,600519,1124.9162151249075,1165.9145147108763,1167.0308050461379,1124.5914761182862,6931447.0,0
2019-09-19,600519,1165.001186254753,1161.9567580676762,1167.0308050461379,1153.939763841707,2447980.0,0
2019-09-20,600519,1168.04561444183,1174.5606907621748,1177.1788990030607,1164.5851144025194,3762666.0000000005,0
2019-09-23,600519,1174.1344708159838,1166.0159956504456,1174.1344708159838,1147.7494265279843,3002633.0,0
2019-09-24,600519,1172.1048520245993,1201.534324499676,1202.447652955799,1169.0604238375224,3626913.0,0
2019-09-25,600519,1197.4750869169065,1191.3862305427529,1206.4764462566973,1187.8343976578296,2402458.0,0
2019-09-26,600519,1192.3401513747035,1184.2825647729067,1200.8746983924757,1175.9712758221867,2608194.0,0
2019-09-27,600519,1181.2381365858298,1192.147337589522,1200.5195151039834,1170.0752332332147,2282661.0,0
2019-09-30,600519,1180.2233271901375,1167.0308050461379,1186.748551604439,1167.0308050461379,3082514.0,0
2019-10-08,600519,1170.0752332332147,1184.384045712476,1197.4750869169065,1169.0705719314792,3104527.0,0
2019-10-09,600519,1183.4707172563528,1163.7935630738793,1183.4707172563528,1151.859404580538,3578857.0,0
2019-10-10,600519,1143.6901889452151,1172.1048520245993,1176.09305294967,1125.4439160106676,4117370.0,0
2019-10-11,600519,1174.1344708159838,1191.9951161801682,1192.4010399384451,1169.2735338106177,2868925.0,0
2019-10-14,600519,1203.5639432910602,1197.4750869169065,1205.2485268879097,1187.3269929599835,2718751.0,0
2019-10-15,600519,1197.4750869169065,1228.9341781833677,1233.6834861552077,1194.4611030117005,4003473.0000000005,0
2019-10-16,600519,1185.2973741685992,1187.3269929599835,1205.0861573845987,1177.1788990030607,5915059.0,0
2019-10-17,600519,1193.4158493341374,1200.8544022045617,1204.2337174922172,1179.7159224922914,3050870.0,0
2019-10-18,600519,1196.4602775212143,1193.202739361042,1207.6130327798726,1189.0420208387038,2829161.0,0
2019-10-21,600519,1189.2145384359712,1185.804778866445,1196.3587965816453,1180.5277700088452,2527467.0,0
